Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
45,"['wheel', 'wheel', 'wheel', 'wheel', 'wheel']",[0.79182106 0.79182106 0.4583487  0.47572708 0.36026394],"[900.4564819335938, 681.3013916015625, 75.65086364746094, 0.4309558868408203, 75.05135345458984]","[357.97119140625, 358.11962890625, 357.5874328613281, 357.4962463378906, 359.3591003417969]","[1130.1602783203125, 900.853759765625, 295.3443603515625, 110.09903717041016, 261.47705078125]","[552.305419921875, 556.9375610351562, 527.49169921875, 520.263671875, 526.8923950195312]"
46,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7866228  0.7826625  0.4649016  0.60299706],"[926.281494140625, 708.42578125, 94.58363342285156, 0.28204917907714844]","[357.7438049316406, 357.9456787109375, 357.1684265136719, 356.6776123046875]","[1160.612548828125, 930.4259033203125, 315.1104736328125, 126.87113952636719]","[553.5064697265625, 558.2592163085938, 527.8756713867188, 520.9328002929688]"
47,"['wheel', 'wheel', 'wheel', 'wheel']",[0.79565805 0.6943027  0.80069196 0.6918097 ],"[734.57763671875, 113.81996154785156, 954.0697021484375, 0.3632974624633789]","[357.5096435546875, 357.3789978027344, 357.447509765625, 356.777587890625]","[958.8951416015625, 333.7215881347656, 1188.87109375, 146.1443328857422]","[559.3773193359375, 529.3768310546875, 553.5752563476562, 522.0248413085938]"
48,"['wheel', 'wheel', 'wheel', 'wheel', 'wheel']",[0.7759446  0.78530854 0.6714706  0.48401427 0.40121853],"[981.449462890625, 761.9536743164062, 132.9627685546875, 0.3737831115722656, 241.20944213867188]","[357.66082763671875, 357.821044921875, 357.8406677246094, 356.86004638671875, 357.46978759765625]","[1218.9140625, 988.88818359375, 334.5413818359375, 166.0551300048828, 353.4440612792969]","[553.5455932617188, 560.6776733398438, 529.8410034179688, 522.5518188476562, 514.1925048828125]"
49,"['wheel', 'wheel', 'wheel', 'wheel']",[0.68257374 0.79565805 0.7879312  0.48425815],"[154.35223388671875, 786.7965087890625, 1009.8108520507812, 0.55877685546875]","[357.3132019042969, 357.5031433105469, 357.5833435058594, 356.77099609375]","[372.26904296875, 1019.4855346679688, 1250.8565673828125, 183.60475158691406]","[530.7714233398438, 561.3906860351562, 555.2969360351562, 524.5787353515625]"
50,"['wheel', 'wheel', 'wheel', 'wheel']",[0.77864933 0.648689   0.7606507  0.6460137 ],"[811.22705078125, 172.7769775390625, 1038.6661376953125, 8.401355743408203]","[357.7359924316406, 357.6629638671875, 357.7942810058594, 357.2016296386719]","[1050.857421875, 391.82672119140625, 1279.148193359375, 201.5708770751953]","[562.9542236328125, 531.6063842773438, 557.01220703125, 524.7728881835938]"
51,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7892337  0.78530854 0.7287483  0.6959583 ],"[834.83349609375, 1065.4051513671875, 193.9916229248047, 26.447982788085938]","[357.6120910644531, 357.6302185058594, 357.7197265625, 358.08172607421875]","[1081.59033203125, 1279.476318359375, 412.14697265625, 219.69732666015625]","[564.3167114257812, 557.1153564453125, 533.23046875, 525.2682495117188]"
52,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7490872 0.7799929 0.7892337 0.7106283],"[214.1065673828125, 860.5377197265625, 1094.9697265625, 45.84385681152344]","[357.7676696777344, 357.99749755859375, 357.8358459472656, 357.4290771484375]","[432.57427978515625, 1113.27587890625, 1279.18798828125, 244.96502685546875]","[534.5162353515625, 565.778076171875, 557.1399536132812, 526.448486328125]"
53,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7505528 0.7879312 0.7718435 0.7178038],"[235.55621337890625, 885.1142578125, 1124.090576171875, 63.716678619384766]","[357.2314147949219, 357.131103515625, 357.0789489746094, 357.62884521484375]","[453.0636291503906, 1145.61474609375, 1279.488037109375, 259.7286376953125]","[534.6024169921875, 567.6455688476562, 558.9349365234375, 527.4808959960938]"
54,"['wheel', 'wheel', 'wheel', 'wheel']",[0.76629364 0.7759446  0.7592254  0.73105854],"[255.91018676757812, 910.3511962890625, 1154.979248046875, 82.27145385742188]","[357.7906494140625, 357.5657958984375, 357.7052307128906, 357.9438781738281]","[473.62060546875, 1177.8017578125, 1279.4981689453125, 279.8138427734375]","[536.2178955078125, 568.6782836914062, 558.6970825195312, 528.06787109375]"
